Source_Database	MEGARes_Header	Source_Headers(space_separated)
NCBI	MLS|ermB_9_AF299292|MLS|23S_rRNA_methyltransferases|ERMB	gi|938507137|gb|KP842560.1|20891-21628 gi|409183623|gb|JQ663598.1|26630-25893 gi|388535180|gb|CP003585.1|47170-46433 gi|383850702|gb|JN899593.1|211-948 gi|383850692|gb|JN899591.1|273-1010 gi|383850677|gb|JN899588.1|273-1010 gi|373218503|gb|JN607214.1|242-979 gi|323463200|gb|CP002478.1|1849667-1848930 gi|319739722|gb|HQ115078.1|34525-33788 gi|260177113|gb|GQ900487.1|40580-39843
Resfinder	MLS|ermB_9_AF299292|MLS|23S_rRNA_methyltransferases|ERMB	erm(B)_9_AF299292
CARD	CARD|pvgb|U00096|2336792-2339420|ARO:3003294|Escherichia|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	@pvgb|U00096|2336792-2339420|ARO:3003294|Escherichia coli gyrA conferring resistance to fluoroquinolones [Escherichia coli str. K-12 substr. MG1655]
NCBI	CARD|pvgb|U00096|2336792-2339420|ARO:3003294|Escherichia|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	gi|985000614|gb|CP014225.1|533993-536621 gi|939732440|gb|CP011343.2|2317251-2319879 gi|939731527|gb|CP011342.2|2318081-2320709 gi|937526251|gb|CP012870.1|2304863-2302235 gi|937521852|gb|CP012869.1|2304863-2302235 gi|937517453|gb|CP012868.1|2304863-2302235 gi|932857508|emb|LN877770.1|2701715-2704343 gi|923416119|gb|CP011113.1|2300430-2303058 gi|857137982|gb|CP011495.1|3576696-3579324 gi|817589947|gb|CP011324.1|2328495-2331123
CARD	MLS|ermB_16_X82819|MLS|23S_rRNA_methyltransferases|ERMB	@phgb|X82819|436-1174|ARO:3000375|ErmB [Enterococcus sp.]
NCBI	MLS|ermB_16_X82819|MLS|23S_rRNA_methyltransferases|ERMB	gi|874011340|gb|CP012045.1|1119211-1118474 gi|745811785|gb|CP007593.1|966327-967064 gi|703570643|gb|CP009612.1|1080329-1079592 gi|698841295|emb|LK020698.1|24803-24066 gi|698841065|emb|LK020692.1|27042-27779 gi|698840909|emb|LK020687.1|14848-14111 gi|649571968|emb|HG799503.1|4127-4864 gi|641688100|emb|HG799491.1|44955-44218 gi|556027507|gb|CP006844.1|1747631-1748368 gi|537629960|gb|CP003858.1|644482-645219
NCBI	gi|13591814|gb|AF357597.1|betalactams|Class_C_betalactamases|CMY	gi|695214108|ref|NG_036737.1|5403-6877 gi|13591814|gb|AF357597.1|1-1475 gi|302371353|gb|AF373217.2|1-1171 gi|573013567|dbj|AP013064.1|27532-27602 gi|573013567|dbj|AP013064.1|29787-29857 gi|573013567|dbj|AP013064.1|29906-29976 gi|146150962|gb|EF382672.1|102448-102518 gi|695199441|ref|NG_035225.1|428-498 gi|695200064|ref|NG_035368.1|48-118
CARD	CARD|phgb|HQ529916|110-971|ARO:3001045|TEM-183|betalactams|Class_A_betalactamases|TEM	@phgb|HQ529916|110-971|ARO:3001045|TEM-183 [Klebsiella pneumoniae]
NCBI	CARD|phgb|HQ529916|110-971|ARO:3001045|TEM-183|betalactams|Class_A_betalactamases|TEM	gi|313586334|gb|HQ529916.1|111-972
ARG-ANNOT	Bla|CTX-M-43|HQ734713|1-876|876|betalactams|Class_A_betalactamases|CTX	(Bla)CTX-M-43:HQ734713:1-876:876
NCBI	Bla|CTX-M-43|HQ734713|1-876|876|betalactams|Class_A_betalactamases|CTX	gi|342308426|gb|HQ734713.1|1-876
NCBI	Gly|VanA-Pt2_4_AY926880|Glycopeptides|VanA-type_resistance_protein|VANA	gi|257412320|gb|AY926880.2|3732-4763
Resfinder	Gly|VanA-Pt2_4_AY926880|Glycopeptides|VanA-type_resistance_protein|VANA	VanPt2_4_AY926880
ARG-ANNOT	MLS|Erm42|FR734406|1-906|906|MLS|23S_rRNA_methyltransferases|ERM42	(MLS)Erm42:FR734406:1-906:906
CARD	MLS|Erm42|FR734406|1-906|906|MLS|23S_rRNA_methyltransferases|ERM42	@phgb|FR734406|0-906|ARO:3003106|Erm(42) [Pasteurella multocida]
NCBI	MLS|Erm42|FR734406|1-906|906|MLS|23S_rRNA_methyltransferases|ERM42	gi|356596244|gb|CP003022.1|290396-291301 gi|313848514|emb|FR734406.1|1-906
Resfinder	MLS|Erm42|FR734406|1-906|906|MLS|23S_rRNA_methyltransferases|ERM42	erm(42)_1_FR734406
ARG-ANNOT	gi|395469607|gb|JQ837239.1|betalactams|Class_D_betalactamases|OXA	(Bla)OXA-239:JQ837239:1-822:822
CARD	gi|395469607|gb|JQ837239.1|betalactams|Class_D_betalactamases|OXA	@phgb|JQ837239|0-822|ARO:3001498|OXA-239 [Acinetobacter sp. enrichment culture clone 8407]
Lahey	gi|395469607|gb|JQ837239.1|betalactams|Class_D_betalactamases|OXA	AFN65709.1 JQ837239.1:1-822
NCBI	gi|395469607|gb|JQ837239.1|betalactams|Class_D_betalactamases|OXA	gi|395469607|gb|JQ837239.1|1-822
Resfinder	gi|395469607|gb|JQ837239.1|betalactams|Class_D_betalactamases|OXA	blaOXA-239_1_JQ837239
NCBI	AGly|strA_4_NC_003384|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	gi|981191958|emb|LN999997.1|2509425-2510228 gi|975007785|gb|CP010832.1|3628-2825 gi|954666075|gb|KT962845.1|18711-17908 gi|971497891|gb|CP012901.1|3691790-3692593 gi|971339514|gb|CP006662.2|54045-53242 gi|959153704|gb|CP012993.1|20977-21780 gi|959147947|gb|CP012988.1|72243-71440 gi|957647579|dbj|AP017302.1|121620-122423 gi|957647579|dbj|AP017302.1|419616-418813 gi|954171562|gb|KT151663.1|74577-75380 gi|954171278|gb|KT151660.1|74577-75380
Resfinder	AGly|strA_4_NC_003384|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	strA_4_AF321551
CARD	CARD|phgb|GQ150744|122-359|ARO:3003022|dfrB3|Trimethoprim|Dihydrofolate_reductase|DFRB	@phgb|GQ150744|122-359|ARO:3003022|dfrB3 [Klebsiella oxytoca]
NCBI	CARD|phgb|GQ150744|122-359|ARO:3003022|dfrB3|Trimethoprim|Dihydrofolate_reductase|DFRB	gi|742988600|gb|CP010378.1|17621-17384 gi|238820136|gb|GQ150744.1|123-360 gi|22121734|gb|AY123252.1|109-346 gi|70907607|gb|U67194.4|EAU67194|33129-33366 gi|14091019|gb|AF327729.1|98-335 gi|695196883|ref|NG_034557.1|6193-5956
ARG-ANNOT	gi|5457153|gb|AF164577.1|betalactams|Class_A_betalactamases|SHV	(Bla)SHV-13:AF164577:1-861:861
CARD	gi|5457153|gb|AF164577.1|betalactams|Class_A_betalactamases|SHV	@phgb|AF164577|0-861|ARO:3001072|SHV-13 [Klebsiella pneumoniae]
Lahey	gi|5457153|gb|AF164577.1|betalactams|Class_A_betalactamases|SHV	AAD43815.1 AF164577.1:1-861
NCBI	gi|5457153|gb|AF164577.1|betalactams|Class_A_betalactamases|SHV	gi|5457153|gb|AF164577.1|AF164577|1-861
Resfinder	gi|5457153|gb|AF164577.1|betalactams|Class_A_betalactamases|SHV	blaSHV-13_1_AF164577
ARG-ANNOT	Bla|HERA-4|AJ536088|1-873|873|betalactams|Class_A_betalactamases|HERA	(Bla)HERA-4:AJ536088:1-873:873
NCBI	Bla|HERA-4|AJ536088|1-873|873|betalactams|Class_A_betalactamases|HERA	gi|27805131|emb|AJ536088.1|1-873
Resfinder	Bla|HERA-4|AJ536088|1-873|873|betalactams|Class_A_betalactamases|HERA	blaHERA-4_1_AJ536088
ARG-ANNOT	Bla|SHV-63|EU342351|173-1033|861|betalactams|Class_A_betalactamases|SHV	(Bla)SHV-63:EU342351:173-1033:861
CARD	Bla|SHV-63|EU342351|173-1033|861|betalactams|Class_A_betalactamases|SHV	@phgb|EU342351|172-1033|ARO:3001118|SHV-63 [Klebsiella pneumoniae]
Lahey	Bla|SHV-63|EU342351|173-1033|861|betalactams|Class_A_betalactamases|SHV	ABY56290.1 EU342351.1:173-1033
NCBI	Bla|SHV-63|EU342351|173-1033|861|betalactams|Class_A_betalactamases|SHV	gi|815976342|gb|CP011313.1|2734371-2735231 gi|164449661|gb|EU342351.1|173-1033
Resfinder	Bla|SHV-63|EU342351|173-1033|861|betalactams|Class_A_betalactamases|SHV	blaSHV-63_1_EU342351
ARG-ANNOT	Bla|TEM-63|AF332513|104-964|861|betalactams|Class_A_betalactamases|TEM	(Bla)TEM-63:AF332513:104-964:861
CARD	Bla|TEM-63|AF332513|104-964|861|betalactams|Class_A_betalactamases|TEM	@phgb|AF332513|103-964|ARO:3000931|TEM-63 [Escherichia coli]
Lahey	Bla|TEM-63|AF332513|104-964|861|betalactams|Class_A_betalactamases|TEM	AAK17194.1 AF332513.1:104-964
NCBI	Bla|TEM-63|AF332513|104-964|861|betalactams|Class_A_betalactamases|TEM	gi|13272527|gb|AF332513.1|AF332513|104-964
Resfinder	Bla|TEM-63|AF332513|104-964|861|betalactams|Class_A_betalactamases|TEM	blaTEM-63_1_AF332513
ARG-ANNOT	Bla|OXA-250|HE963771|1-825|825|betalactams|Class_D_betalactamases|OXA	(Bla)OXA-250:HE963771:1-825:825
CARD	Bla|OXA-250|HE963771|1-825|825|betalactams|Class_D_betalactamases|OXA	@phgb|HE963771|0-825|ARO:3001675|OXA-250 [Acinetobacter baumannii]
Lahey	Bla|OXA-250|HE963771|1-825|825|betalactams|Class_D_betalactamases|OXA	CCJ32598.1 HE963771.1:1-825
NCBI	Bla|OXA-250|HE963771|1-825|825|betalactams|Class_D_betalactamases|OXA	gi|404432496|emb|HE963771.1|1-825
Resfinder	Bla|OXA-250|HE963771|1-825|825|betalactams|Class_D_betalactamases|OXA	blaOXA-250_1_HE963771
NCBI	Phe|AJ549214.1|gene2|Phenicol|Phenicol_efflux_pumps|FEXA	gi|695227368|ref|NG_041657.1|28078-26638 gi|478895380|gb|KC206006.1|38191-36751 gi|695227162|ref|NG_041619.1|11758-10318 gi|695225704|ref|NG_041398.1|8537-7097 gi|695200656|ref|NG_036155.1|8668-7228 gi|58577493|emb|AJ715531.1|6275-4835 gi|695210468|ref|NG_035946.1|164-1604 gi|695227791|ref|NG_041678.1|18496-17069
CARD	CARD|phgb|AF416700|56-764|ARO:3000842|EBR-1|betalactams|Class_B_betalactamases|EBR1	@phgb|AF416700|56-764|ARO:3000842|EBR-1 beta-lactamase [Empedobacter brevis]
NCBI	CARD|phgb|AF416700|56-764|ARO:3000842|EBR-1|betalactams|Class_B_betalactamases|EBR1	gi|23451047|gb|AF416700.1|57-765
ARG-ANNOT	Bla|FONA-1|AJ251239|1054-1941|888|betalactams|Class_A_betalactamases|FONA	(Bla)FONA-1:AJ251239:1054-1941:888
NCBI	Bla|FONA-1|AJ251239|1054-1941|888|betalactams|Class_A_betalactamases|FONA	gi|6468735|emb|AJ251239.1|1054-1941 gi|557668524|gb|KF484094.1|1-477
Resfinder	Bla|FONA-1|AJ251239|1054-1941|888|betalactams|Class_A_betalactamases|FONA	blaFONA-1_1_AJ251239
NCBI	Sul|NC_002516.2.881715|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation	gi|926451317|emb|LN871187.1|5347833-5346982 gi|553895034|gb|CP006832.1|5335767-5334916 gi|553886202|gb|CP006831.1|5336852-5336001 gi|543879514|gb|CP006705.1|5115352-5114501 gi|110227054|gb|AE004091.2|5335772-5334921
CARD	Phe|AB080798.1|gene5|Phenicol|Chloramphenicol_acetyltransferases|CAT	@phgb|AB080798|2658-3309|ARO:3002670|cat [Streptococcus suis]
NCBI	Phe|AB080798.1|gene5|Phenicol|Chloramphenicol_acetyltransferases|CAT	gi|22775395|dbj|AB080798.1|2659-3309
Resfinder	Tet|tet44_1_NZ_ABDU01000081|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET44	tet(44)_1_NZ_ABDU01000081
ARG-ANNOT	Bla|OXA-161|GQ202693|1172-1999|828|betalactams|Class_D_betalactamases|OXA	(Bla)OXA-161:GQ202693:1172-1999:828
CARD	Bla|OXA-161|GQ202693|1172-1999|828|betalactams|Class_D_betalactamases|OXA	@phgb|GQ202693|1171-1999|ARO:3001799|OXA-161 [Pseudomonas aeruginosa]
Lahey	Bla|OXA-161|GQ202693|1172-1999|828|betalactams|Class_D_betalactamases|OXA	ACT09125.1 GQ202693.1:1172-1999
NCBI	Bla|OXA-161|GQ202693|1172-1999|828|betalactams|Class_D_betalactamases|OXA	gi|247712941|gb|GQ202693.1|1172-1999
Resfinder	Bla|OXA-161|GQ202693|1172-1999|828|betalactams|Class_D_betalactamases|OXA	blaOXA-161_1_GQ202693
CARD	CARD|pvgb|AE005672|800699-803171|ARO:3003311|Streptococcus|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation	@pvgb|AE005672|800699-803171|ARO:3003311|Streptococcus pneumonia parC conferring resistance to fluoroquinolone [Streptococcus pneumoniae TIGR4]
NCBI	CARD|pvgb|AE005672|800699-803171|ARO:3003311|Streptococcus|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation	gi|193804931|gb|AE005672.3|800700-803172
NCBI	Gly|VanA-D_4_AY89045|Glycopeptides|VanD-type_resistance_protein|VAND	gi|40021670|gb|AY489045.1|4010-5041
Resfinder	Gly|VanA-D_4_AY89045|Glycopeptides|VanD-type_resistance_protein|VAND	VanD_4_AY489045
CARD	CARD|phgb|GU584222|0-747|ARO:3003196|tet45|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TET45	@phgb|GU584222|0-747|ARO:3003196|tet45 [Escherichia coli]
NCBI	CARD|phgb|GU584222|0-747|ARO:3003196|tet45|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TET45	gi|359359418|gb|JN232540.1|1-747 gi|343794863|gb|JF837331.1|2942-2196 gi|343794857|gb|JF837330.1|2942-2196 gi|324575432|gb|GU584217.2|402-1148
CARD	CARD|phgb|AM087454|208-1069|ARO:3001015|TEM-148|betalactams|Class_A_betalactamases|TEM	@phgb|AM087454|208-1069|ARO:3001015|TEM-148 [Escherichia coli]
NCBI	CARD|phgb|AM087454|208-1069|ARO:3001015|TEM-148|betalactams|Class_A_betalactamases|TEM	gi|157676817|emb|AM087454.1|209-1070
ARG-ANNOT	Bla|AJ920369.1|gene1|betalactams|Class_A_betalactamases|SHV	(Bla)SHV-12:FJ685654:24-860:837
CARD	Bla|AJ920369.1|gene1|betalactams|Class_A_betalactamases|SHV	@phgb|AJ920369|23-860|ARO:3001071|SHV-12 [Escherichia coli]
NCBI	Bla|AJ920369.1|gene1|betalactams|Class_A_betalactamases|SHV	gi|961666360|gb|KT185451.1|77461-76625 gi|954629879|gb|CP013215.1|268471-269307 gi|933686117|gb|KR827393.1|97059-97895 gi|918463070|gb|KP987216.1|9638-8802 gi|817046807|gb|KP893385.1|116953-116117 gi|908266278|gb|CP012170.1|159168-160004 gi|902618894|gb|CP011987.1|37160-37996 gi|902611358|gb|CP011977.1|33484-34320 gi|902604381|gb|CP011983.1|6514-7350 gi|873464235|gb|KR059865.1|7838-8674
Resfinder	Bla|AJ920369.1|gene1|betalactams|Class_A_betalactamases|SHV	blaSHV-5_8_AY502004;blaSHV-12_1_AF462395
CARD	gi|757399503|gb|KP050484.1|betalactams|Class_C_betalactamases|MIR	@phgb|KP050484|0-1146|ARO:3002170|MIR-5 [Enterobacter asburiae];@phgb|KP050484|0-1146|ARO:3002173|MIR-8 [Enterobacter asburiae]
NCBI	gi|757399503|gb|KP050484.1|betalactams|Class_C_betalactamases|MIR	gi|757399503|gb|KP050484.1|1-1146
NCBI	Bla|AF167990.3|gene1|betalactams|Class_C_betalactamases|CMY	gi|573013567|dbj|AP013064.1|29985-31245 gi|146150962|gb|EF382672.1|102521-103781 gi|695199441|ref|NG_035225.1|501-1761 gi|58430781|dbj|AB201268.1|1-1149
NCBI	AGly|Aac3-Ib|Aac6-Ib|AF355189|1435-2439|1005|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	gi|18958399|gb|AF355189.1|1837-2439
CARD	CARD|pvgb|AL123456|759806-763325|ARO:3003283|Mycobacterium|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation	@pvgb|AL123456|759806-763325|ARO:3003283|Mycobacterium tuberculosis rpoB mutants conferring resistance to rifampicin [Mycobacterium tuberculosis H37Rv]
NCBI	CARD|pvgb|AL123456|759806-763325|ARO:3003283|Mycobacterium|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation	gi|984985728|gb|CP010338.1|763613-767132 gi|984981517|gb|CP010337.1|762303-765822 gi|984950177|gb|CP010330.1|759765-763284 gi|984945858|gb|CP010329.1|759740-763259 gi|749193065|gb|CP007027.1|759810-763329 gi|737516150|dbj|AP014573.1|763909-767428 gi|690310687|gb|CP009480.1|759213-762732 gi|559794742|gb|CP003248.2|759810-763329 gi|444893469|emb|AL123456.3|759807-763326 gi|378543272|emb|HE608151.1|761752-765271
CARD	Bla|MIR-4_1_EF417572|betalactams|Class_C_betalactamases|MIR	@phgb|EF417572|29-1175|ARO:3002167|MIR-4 [Escherichia coli]
Lahey	Bla|MIR-4_1_EF417572|betalactams|Class_C_betalactamases|MIR	ABN69112.2 EF417572.2:30-1175
NCBI	Bla|MIR-4_1_EF417572|betalactams|Class_C_betalactamases|MIR	gi|695212938|ref|NG_036521.1|30-1175
Resfinder	Bla|MIR-4_1_EF417572|betalactams|Class_C_betalactamases|MIR	blaMIR-4_1_EF417572
ARG-ANNOT	1824|AB777500.1|AB777500|betalactams|Class_B_betalactamases|IMP	(Bla)IMP-43:AB777500:2035-2775:741
CARD	1824|AB777500.1|AB777500|betalactams|Class_B_betalactamases|IMP	@phgb|AB777500|2034-2775|ARO:3002234|IMP-43 [Pseudomonas aeruginosa]
Lahey	1824|AB777500.1|AB777500|betalactams|Class_B_betalactamases|IMP	BAM98935.1 AB777500.1:2035-2775
NCBI	1824|AB777500.1|AB777500|betalactams|Class_B_betalactamases|IMP	gi|459978567|dbj|AB777500.1|2035-2775 gi|282312440|gb|GU213192.1|1-568
Resfinder	1824|AB777500.1|AB777500|betalactams|Class_B_betalactamases|IMP	blaIMP-43_1_AB777500
ARG-ANNOT	gi|21262145|emb|AJ488302.1|betalactams|Class_D_betalactamases|OXA	(Bla)OXA-42:AJ488302:1-810:810
CARD	gi|21262145|emb|AJ488302.1|betalactams|Class_D_betalactamases|OXA	@phgb|AJ488302|0-810|ARO:3001769|OXA-42 [Burkholderia pseudomallei]
Lahey	gi|21262145|emb|AJ488302.1|betalactams|Class_D_betalactamases|OXA	CAD32564.1 AJ488302.1:1-810
NCBI	gi|21262145|emb|AJ488302.1|betalactams|Class_D_betalactamases|OXA	gi|21262145|emb|AJ488302.1|1-810
Resfinder	gi|21262145|emb|AJ488302.1|betalactams|Class_D_betalactamases|OXA	blaOXA-42_1_AJ488302
NCBI	1482|HF953351.1|HF953351|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETH	gi|483933409|emb|HF953351.1|10914-12095 gi|695213701|ref|NG_036651.1|4740-5921 gi|785798809|gb|CP011099.1|1616310-1617488 gi|785795794|gb|CP011098.1|1616287-1617465 gi|678222343|gb|KJ909292.1|5117-6295 gi|575439963|gb|CP006942.1|974729-973551 gi|511255433|gb|KC734562.1|4318-5496 gi|511255399|gb|KC734561.1|3612-2434 gi|511255369|gb|KC734560.1|4418-5596 gi|481063295|gb|CP005383.1|2178983-2180161
ARG-ANNOT	Bla|OXA-26|AF201827|22-849|828|betalactams|Class_D_betalactamases|OXA	(Bla)OXA-26:AF201827:22-849:828
CARD	Bla|OXA-26|AF201827|22-849|828|betalactams|Class_D_betalactamases|OXA	@phgb|AF201827|21-849|ARO:3001421|OXA-26 [Acinetobacter baumannii]
Lahey	Bla|OXA-26|AF201827|22-849|828|betalactams|Class_D_betalactamases|OXA	AAG35608.1 AF201827.1:22-849
NCBI	Bla|OXA-26|AF201827|22-849|828|betalactams|Class_D_betalactamases|OXA	gi|11493693|gb|AF201827.1|AF201827|22-849 gi|908777896|gb|KT022421.1|33-1
Resfinder	Bla|OXA-26|AF201827|22-849|828|betalactams|Class_D_betalactamases|OXA	blaOXA-26_1_AF201827
CARD	gi|343480075|gb|JF274248.1|betalactams|Class_A_betalactamases|CTX	@phgb|JF274248|0-864|ARO:3001969|CTX-M-109 [Shigella sp. SH361]
NCBI	gi|343480075|gb|JF274248.1|betalactams|Class_A_betalactamases|CTX	gi|343480075|gb|JF274248.1|1-865
NCBI	Rif|NC_003112.2.902240|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation	gi|325199235|gb|CP002420.1|137098-141282 gi|66731897|gb|AE002098.2|137034-141218
NCBI	Bla|AY077481.1|gene1|betalactams|Class_A_betalactamases|OXY	gi|23264039|gb|AY077481.1|125-1058
NCBI	Tet|tetE_1_Y19116|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETE	gi|12053583|emb|Y19116.1|1-1196 gi|327195566|gb|HQ399593.1|1-273 gi|296044842|gb|HM041202.1|195-1 gi|296044846|gb|HM041204.1|189-1
ARG-ANNOT	Bla|ACT-4|AJ311172|12-1157|1146|betalactams|Class_C_betalactamases|ACT	(Bla)ACT-4:AJ311172:12-1157:1146
NCBI	Bla|ACT-4|AJ311172|12-1157|1146|betalactams|Class_C_betalactamases|ACT	gi|17432185|emb|AJ311172.1|12-1157
Resfinder	Bla|ACT-4|AJ311172|12-1157|1146|betalactams|Class_C_betalactamases|ACT	blaACT-4_2_AJ311172
NCBI	Tet|tetC_2_NC_003123|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETC	gi|15822653|gb|AY043298.1|4007-5197 gi|961454902|gb|KT991388.1|7007-6978
Resfinder	Tet|tetC_2_NC_003123|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETC	tet(C)_2_NC_003123
ARG-ANNOT	Bla|CMY-43|FJ360626|1-1146|1146|betalactams|Class_C_betalactamases|CMY	(Bla)CMY-43:FJ360626:1-1146:1146;(Bla)CMY-59:HQ267530:1-1146:1146
CARD	Bla|CMY-43|FJ360626|1-1146|1146|betalactams|Class_C_betalactamases|CMY	@phgb|FJ360626|0-1146|ARO:3002054|CMY-43 [Escherichia coli]
Lahey	Bla|CMY-43|FJ360626|1-1146|1146|betalactams|Class_C_betalactamases|CMY	ACJ05361.1 FJ360626.1:1-1146
NCBI	Bla|CMY-43|FJ360626|1-1146|1146|betalactams|Class_C_betalactamases|CMY	gi|209981361|gb|FJ360626.1|1-1146
Resfinder	Bla|CMY-43|FJ360626|1-1146|1146|betalactams|Class_C_betalactamases|CMY	blaCMY-43_1_HQ267530
ARG-ANNOT	Bla|CTX-M-52|GU125667|1-876|876|betalactams|Class_A_betalactamases|CTX	(Bla)CTX-M-52:GU125667:1-876:876
CARD	Bla|CTX-M-52|GU125667|1-876|876|betalactams|Class_A_betalactamases|CTX	@phgb|DQ223685|0-876|ARO:3001914|CTX-M-52 [Klebsiella pneumoniae]
Lahey	Bla|CTX-M-52|GU125667|1-876|876|betalactams|Class_A_betalactamases|CTX	ABB17185.1 DQ223685.1:1-876
NCBI	Bla|CTX-M-52|GU125667|1-876|876|betalactams|Class_A_betalactamases|CTX	gi|281335921|gb|GU125667.1|1-876 gi|78057321|gb|DQ223685.1|1-876
Resfinder	Bla|CTX-M-52|GU125667|1-876|876|betalactams|Class_A_betalactamases|CTX	blaCTX-M-52_1_GU125667
NCBI	Flq|NC_011586.7046500|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	gi|602249473|gb|KC118540.6|117170-114456 gi|213054530|gb|CP001182.1|3132795-3130081
NCBI	Sul|NC_012469.1.7686560|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation	gi|909837468|gb|CP003357.2|339598-340575 gi|225726369|gb|CP000921.1|300601-301578
ARG-ANNOT	Bla|OXA-162|GU197550|1-798|798|betalactams|Class_D_betalactamases|OXA	(Bla)OXA-162:GU197550:1-798:798
CARD	Bla|OXA-162|GU197550|1-798|798|betalactams|Class_D_betalactamases|OXA	@phgb|HM015773|2126-2924|ARO:3001776|OXA-162 [Klebsiella pneumoniae]
Lahey	Bla|OXA-162|GU197550|1-798|798|betalactams|Class_D_betalactamases|OXA	ADG27454.1 HM015773.1:2127-2924
NCBI	Bla|OXA-162|GU197550|1-798|798|betalactams|Class_D_betalactamases|OXA	gi|270312218|gb|GU197550.1|1-798 gi|295684221|gb|HM015773.1|2127-2924
Resfinder	Bla|OXA-162|GU197550|1-798|798|betalactams|Class_D_betalactamases|OXA	blaOXA-162_1_GU197550
NCBI	Bla|AF336095.1|gene1|betalactams|Mutant_porin_proteins|OMP36|RequiresSNPConfirmation	gi|13384116|gb|AF336095.1|1-1128
CARD	CARD|phgb|KP143090|1199-1619|ARO:3003209|FosA5|Fosfomycin|Fosfomycin_thiol_transferases|FOSA	@phgb|KP143090|1199-1619|ARO:3003209|FosA5 [Escherichia coli]
NCBI	CARD|phgb|KP143090|1199-1619|ARO:3003209|FosA5|Fosfomycin|Fosfomycin_thiol_transferases|FOSA	gi|748445536|gb|KP143090.1|1200-1619 gi|544169332|gb|KC960485.1|16616-16197 gi|165928586|gb|EU195449.1|19645-19226
CARD	gi|256862199|gb|GQ390807.1|betalactams|Class_A_betalactamases|SHV	@phgb|GQ390807|0-813|ARO:3001172|SHV-125 [Klebsiella pneumoniae]
NCBI	gi|256862199|gb|GQ390807.1|betalactams|Class_A_betalactamases|SHV	gi|256862199|gb|GQ390807.1|1-813
NCBI	gi|11493691|gb|AF201826.1|betalactams|Class_D_betalactamases|OXA	gi|11493691|gb|AF201826.1|AF201826|1-1023 gi|908777896|gb|KT022421.1|54-1
NCBI	1403|FM207631.1|FM207631|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation	gi|197244608|emb|FM207631.1|849-1322
CARD	Flq|QnrB64_1_KC580653|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	@phgb|KC580653|0-645|ARO:3002776|QnrB64 [Citrobacter freundii]
NCBI	Flq|QnrB64_1_KC580653|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	gi|496297317|gb|KC580653.1|1-645
Resfinder	Flq|QnrB64_1_KC580653|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	QnrB64_1_KC580653
ARG-ANNOT	Bla|CTX-M-90|FJ907381|1-876|876|betalactams|Class_A_betalactamases|CTX	(Bla)CTX-M-90:FJ907381:1-876:876
CARD	Bla|CTX-M-90|FJ907381|1-876|876|betalactams|Class_A_betalactamases|CTX	@phgb|FJ907381|0-876|ARO:3001950|CTX-M-90 [Salmonella sp. YLD3]
Lahey	Bla|CTX-M-90|FJ907381|1-876|876|betalactams|Class_A_betalactamases|CTX	ACQ99521.1 FJ907381.1:1-876
NCBI	Bla|CTX-M-90|FJ907381|1-876|876|betalactams|Class_A_betalactamases|CTX	gi|696158204|gb|KF840373.1|7960-8835 gi|237511598|gb|FJ907381.1|1-876
Resfinder	Bla|CTX-M-90|FJ907381|1-876|876|betalactams|Class_A_betalactamases|CTX	blaCTX-M-90_1_FJ907381
