Database,Source_header,MEGARes_header,UpdatedHeader
NCBI,gi|126952402|gb|EF437948.1|1-794,MEG_5206|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|146261808|gb|EF552405.1|1-840,MEG_5207|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|1488048|gb|U63835.1|PAU63835|1-1180 gi|828945263|gb|CP011614.1|36371-36570,MEG_5208|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|156938936|gb|EU107364.1|1-843,MEG_5209|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|160623381|gb|EU255288.1|1-825,MEG_5210|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|208431881|gb|FJ194494.1|1-1020,MEG_5211|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|21309655|gb|AY066004.1|174-1043,MEG_5212|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|240867064|gb|CP001645.1|664045-664860 gi|187727712|gb|CP001069.1|220251-221066 gi|50236434|gb|AY664506.1|1-816,MEG_5213|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|260060383|gb|GQ466184.1|2534-3361,MEG_5214|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|300687338|gb|CP002025.1|1473162-1472300 gi|158634575|gb|EU086830.1|36-898,MEG_5215|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|300687338|gb|CP002025.1|1473197-1472284 gi|158634575|gb|EU086830.1|1-914,MEG_5216|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|308055643|gb|HM755942.1|1-691,MEG_5217|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|333448873|gb|HQ586946.1|1-795,MEG_5218|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|392295711|gb|JQ422053.1|1-948,MEG_5219|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|392295713|gb|JQ422054.1|1-966,MEG_5220|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|404429427|emb|HE793032.1|162237-161375 gi|158634583|gb|EU086834.1|36-898,MEG_5221|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|404429427|emb|HE793032.1|162272-161359 gi|158634583|gb|EU086834.1|1-914,MEG_5222|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|4105144|gb|AF043558.1|AF043558|1-801,MEG_5223|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|42563726|gb|AY444814.1|3988-4815,MEG_5224|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|56684452|gb|AY762325.1|1-1062 gi|939559781|gb|CP012952.1|1232386-1232467 gi|939559781|gb|CP012952.1|2561141-2561222 gi|939559781|gb|CP012952.1|2743155-2743074 gi|939559781|gb|CP012952.1|1035980-1036060 gi|939559781|gb|CP012952.1|1312277-1312197 gi|939559781|gb|CP012952.1|1549317-1549237 gi|939559781|gb|CP012952.1|1673965-1673885 gi|939559781|gb|CP012952.1|1976686-1976766 gi|939559781|gb|CP012952.1|2359896-2359816 gi|939559781|gb|CP012952.1|3581430-3581510 gi|939559781|gb|CP012952.1|3705318-3705238 gi|939559781|gb|CP012952.1|3838592-3838512 gi|939559781|gb|CP012952.1|3855125-3855045 gi|693578048|dbj|AP014649.1|718278-718359 gi|693578048|dbj|AP014649.1|477947-477867 gi|693578048|dbj|AP014649.1|2686880-2686960 gi|693578048|dbj|AP014649.1|2905183-2905103 gi|693578048|dbj|AP014649.1|3755940-3755860 gi|984881271|gb|CP014215.1|432616-432696 gi|984881271|gb|CP014215.1|2332338-2332258 gi|984881271|gb|CP014215.1|2825934-2826014 gi|984881271|gb|CP014215.1|3326705-3326785 gi|984686374|gb|HQ700358.2|8155-8235 gi|974022331|gb|CP013924.1|914680-914600 gi|974022331|gb|CP013924.1|1418214-1418294 gi|974022331|gb|CP013924.1|3335874-3335794 gi|884906331|gb|CP012008.1|45430-45350 gi|884902522|gb|CP012006.1|3691827-3691747 gi|827403829|gb|CP010779.1|3022167-3022087 gi|730910803|gb|KM977710.1|29944-30024,MEG_5225|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|591389141|gb|KF986253.1|1-856,MEG_5226|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|591389143|gb|KF986254.1|1-871,MEG_5227|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|591389145|gb|KF986255.1|1-916,MEG_5228|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|591389147|gb|KF986256.1|1-867,MEG_5229|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|591389149|gb|KF986257.1|1-888,MEG_5230|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|591389151|gb|KF986258.1|1-907,MEG_5231|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|591389153|gb|KF986259.1|1-879,MEG_5232|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|591389155|gb|KF986260.1|1-888,MEG_5233|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|591389157|gb|KF986261.1|1-917,MEG_5234|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|591389159|gb|KF986262.1|1-895,MEG_5235|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|591389161|gb|KF986263.1|1-961,MEG_5236|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|591389163|gb|KJ135342.1|1-887,MEG_5237|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|591389165|gb|KJ135343.1|1-913,MEG_5238|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|591389167|gb|KJ135344.1|1-874,MEG_5239|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|591389169|gb|KJ135345.1|1-917,MEG_5240|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|591389171|gb|KJ135346.1|1-901,MEG_5241|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|636668380|gb|KJ692398.1|1938-1123 gi|50236430|gb|AY664504.1|1-816,MEG_5242|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|685424881|gb|KM009138.1|1200-2027 gi|635661971|gb|KJ569108.1|721-1548 gi|116248472|gb|DQ993182.1|1190-2017,MEG_5243|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|751813255|gb|KM979376.1|1-879,MEG_5244|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|751813257|gb|KM979377.1|1-872,MEG_5245|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|751813259|gb|KM979378.1|1-912,MEG_5246|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|751813261|gb|KM979379.1|1-867,MEG_5247|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|751813263|gb|KM979380.1|1-885,MEG_5248|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|784887|gb|L07945.1|PSEBLAOXA3|1-900,MEG_5249|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|784887|gb|L07945.1|PSEBLAOXA3|18-888,MEG_5250|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|817490718|gb|KP264123.1|1-896,MEG_5251|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|817490722|gb|KP264125.1|1-1048,MEG_5252|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|88697140|gb|DQ392963.1|1-865,MEG_5253|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|937637492|gb|KT334335.1|98367-97525 gi|928083869|gb|CP012682.1|75273-74431 gi|828971497|gb|CP011644.1|25581-26423 gi|743008998|gb|CP010362.1|66627-65785 gi|742999823|gb|CP010396.1|9100-8258 gi|660582341|gb|CP008800.1|52487-53329 gi|587656709|gb|KF921569.1|615-1457 gi|587656699|gb|KF921568.1|615-1457 gi|587656689|gb|KF921567.1|615-1457 gi|587656679|gb|KF921566.1|615-1457,MEG_5254|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|937637492|gb|KT334335.1|98451-97525 gi|937637492|gb|KT334335.1|86339-86284 gi|928083869|gb|CP012682.1|75357-74431 gi|928083869|gb|CP012682.1|17933-17878 gi|828971497|gb|CP011644.1|25497-26423 gi|743008998|gb|CP010362.1|66711-65785 gi|742999823|gb|CP010396.1|9184-8258 gi|660582341|gb|CP008800.1|52403-53329 gi|587656709|gb|KF921569.1|531-1457 gi|587656699|gb|KF921568.1|531-1457 gi|587656689|gb|KF921567.1|531-1457 gi|587656679|gb|KF921566.1|531-1457,MEG_5255|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|94960148|gb|DQ519087.1|1-890,MEG_5256|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|94960150|gb|DQ519088.1|1-865 gi|742999896|gb|CP010397.1|2075049-2075912,MEG_5257|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|94960152|gb|DQ519089.1|1-865,MEG_5258|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|94960154|gb|DQ519090.1|1-911 gi|300244960|gb|GU911349.1|6390-6476 gi|300244960|gb|GU911349.1|2423-2379 gi|971493847|gb|CP010351.1|395920-395964 gi|827342761|gb|KR055667.1|3539-3495 gi|442769248|gb|JX101647.1|56497-56541 gi|544205277|gb|KF208466.1|2584-2540 gi|522376232|gb|CP003848.1|48892-48848 gi|441494717|gb|JX968506.1|589-633 gi|695226605|ref|NG_041543.1|2470-2426 gi|695226596|ref|NG_041542.1|4614-4570,MEG_5259|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|9662892|emb|AJ276632.1|1596-2390 gi|7208645|emb|AJ276031.1|112-906,MEG_5260|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|971493847|gb|CP010351.1|396906-395992 gi|971493847|gb|CP010351.1|395910-395964 gi|827342761|gb|KR055667.1|2553-3467 gi|827342761|gb|KR055667.1|3549-3495 gi|442769248|gb|JX101647.1|57483-56569 gi|442769248|gb|JX101647.1|56487-56541 gi|544205277|gb|KF208466.1|1598-2512 gi|544205277|gb|KF208466.1|2594-2540 gi|522376232|gb|CP003848.1|47906-48820 gi|522376232|gb|CP003848.1|48902-48848 gi|441494717|gb|JX968506.1|1575-661 gi|441494717|gb|JX968506.1|579-633 gi|695226605|ref|NG_041543.1|1484-2398 gi|695226605|ref|NG_041543.1|2480-2426 gi|695226596|ref|NG_041542.1|3628-4542 gi|695226596|ref|NG_041542.1|4624-4570 gi|695226589|ref|NG_041541.1|1905-2819 gi|695226589|ref|NG_041541.1|2901-2847 gi|695226580|ref|NG_041540.1|3606-4520 gi|695226580|ref|NG_041540.1|4602-4548,MEG_5261|Drugs|betalactams|Class_D_betalactamases|OXA,
NCBI,gi|974298776|gb|CP008864.1|5482818-5483606 gi|926451317|emb|LN871187.1|6219306-6220094 gi|745838743|gb|CP007399.1|2474938-2475726 gi|589338112|gb|CP006985.1|6465670-6466458 gi|589332184|gb|CP006984.1|6450687-6451475 gi|589326231|gb|CP006983.1|6468621-6469409 gi|589320215|gb|CP006982.1|6532730-6533518 gi|589314341|gb|CP006981.1|6409530-6410318 gi|589308385|gb|CP006980.1|6484966-6485754 gi|566561164|gb|CP006937.1|6491686-6492474,MEG_5262|Drugs|betalactams|Class_D_betalactamases|OXA,
ResFinder,blaOXA-182_1_HM640278,MEG_5263|Drugs|betalactams|Class_D_betalactamases|OXA,
ResFinder,blaOXA-193_1_CP013032,MEG_5264|Drugs|betalactams|Class_D_betalactamases|OXA,
ResFinder,blaOXA-499_1_KT964029,MEG_5265|Drugs|betalactams|Class_D_betalactamases|OXA,
ResFinder,blaOXA-486_1_AY597426,MEG_5266|Drugs|betalactams|Class_D_betalactamases|OXA,
ResFinder,blaOXA-21_1_AB626885,MEG_5267|Drugs|betalactams|Class_D_betalactamases|OXA,
ResFinder,blaOXA-16_1_AF043100 ,MEG_5268|Drugs|betalactams|Class_D_betalactamases|OXA,
ResFinder,blaOXA-490_1_KU721147,MEG_5269|Drugs|betalactams|Class_D_betalactamases|OXA,
ResFinder,blaOXA-289_1_APRM01000005,MEG_5270|Drugs|betalactams|Class_D_betalactamases|OXA,
ResFinder,blaOXA-290_1_APOK01000044,MEG_5271|Drugs|betalactams|Class_D_betalactamases|OXA,
ResFinder,blaOXA-494_1_AY597430,MEG_5272|Drugs|betalactams|Class_D_betalactamases|OXA,
ResFinder,blaOXA-493_1_KU739135,MEG_5273|Drugs|betalactams|Class_D_betalactamases|OXA,
ResFinder,blaOXA-208_1_KF305665,MEG_5274|Drugs|betalactams|Class_D_betalactamases|OXA,
ResFinder,blaOXA-410_1_KJ584919,MEG_5275|Drugs|betalactams|Class_D_betalactamases|OXA,
ResFinder,blaOXA-272_1_LSAL01000001,MEG_5276|Drugs|betalactams|Class_D_betalactamases|OXA,
ResFinder,blaOXA-36_1_AF300985 ,MEG_5277|Drugs|betalactams|Class_D_betalactamases|OXA,
AMRFinder,1028083784|WP_063842752.1|NG_047529|1|1|blaOXY-2-14|blaOXY-2|class_A_extended-spectrum_beta-lactamase_OXY-2-14 NG_047529:95-967,MEG_5278|Drugs|betalactams|Class_A_betalactamases|OXY,
AMRFinder,1028110179|WP_063864549.1|NG_049850|1|1|blaOXY-2-13|blaOXY-2|class_A_extended-spectrum_beta-lactamase_OXY-2-13 NG_049850:1-873,MEG_5279|Drugs|betalactams|Class_A_betalactamases|OXY,
AMRFinder,1028110180|WP_063864550.1|NG_049851|1|1|blaOXY-2-15|blaOXY-2|class_A_extended-spectrum_beta-lactamase_OXY-2-15 NG_049851:1-867,MEG_5280|Drugs|betalactams|Class_A_betalactamases|OXY,
AMRFinder,1028110178|WP_063864548.1|NG_049849|1|1|blaOXY-2-12|blaOXY-2|class_A_extended-spectrum_beta-lactamase_OXY-2-12 NG_049849:1-873,MEG_5281|Drugs|betalactams|Class_A_betalactamases|OXY,
AMRFinder,490231781|WP_004130122.1|NG_050613|1|1|blaOXY-4-1|blaOXY-4|class_A_extended-spectrum_beta-lactamase_OXY-4-1 NG_050613:101-973,MEG_5282|Drugs|betalactams|Class_A_betalactamases|OXY,
AMRFinder,490212698|WP_004111091.1|NG_049848|1|1|blaOXY-2-11|blaOXY-2|class_A_extended-spectrum_beta-lactamase_OXY-2-11 NG_049848:1-873,MEG_5283|Drugs|betalactams|Class_A_betalactamases|OXY,
ARG-ANNOT,(Bla)OXY1-5:AY077483:181-1056:876,MEG_5284|Drugs|betalactams|Class_A_betalactamases|OXY,
ARG-ANNOT,(Bla)OXY1-5:AY077483:181-1056:876,MEG_5285|Drugs|betalactams|Class_A_betalactamases|OXY,
ARG-ANNOT,(Bla)OXY2-5:AY077487.2|:180-1049:870,MEG_5286|Drugs|betalactams|Class_A_betalactamases|OXY,
CARD,CARD|gb|AF473577|+|0-873|ARO:3002397|OXY-2-2 [Klebsiella oxytoca] ,MEG_5287|Drugs|betalactams|Class_A_betalactamases|OXY,
CARD,CARD|gb|AF491278|+|183-1050|ARO:3002409|OXY-3-1 [Klebsiella oxytoca] ,MEG_5288|Drugs|betalactams|Class_A_betalactamases|OXY,
CARD,CARD|gb|AJ746227|+|94-967|ARO:3002400|OXY-2-5 [Klebsiella oxytoca] ,MEG_5289|Drugs|betalactams|Class_A_betalactamases|OXY,
CARD,CARD|gb|AJ871865|+|0-876|ARO:3002390|OXY-1-2 [Klebsiella oxytoca] ,MEG_5290|Drugs|betalactams|Class_A_betalactamases|OXY,
CARD,CARD|gb|AJ871866|+|0-873|ARO:3002396|OXY-2-1 [Klebsiella oxytoca] ,MEG_5291|Drugs|betalactams|Class_A_betalactamases|OXY,
CARD,CARD|gb|AJ871869|+|0-873|ARO:3002411|OXY-5-1 [Klebsiella oxytoca] ,MEG_5292|Drugs|betalactams|Class_A_betalactamases|OXY,
CARD,CARD|gb|AJ871871|+|0-873|ARO:3002412|OXY-5-2 [Klebsiella oxytoca] ,MEG_5293|Drugs|betalactams|Class_A_betalactamases|OXY,
CARD,CARD|gb|AJ871874|+|0-876|ARO:3002413|OXY-6-1 [Klebsiella oxytoca] ,MEG_5294|Drugs|betalactams|Class_A_betalactamases|OXY,
CARD,CARD|gb|AJ871875|+|0-873|ARO:3002414|OXY-6-2 [Klebsiella oxytoca] ,MEG_5295|Drugs|betalactams|Class_A_betalactamases|OXY,
CARD,CARD|gb|AJ871876|+|0-876|ARO:3002415|OXY-6-3 [Klebsiella oxytoca] ,MEG_5296|Drugs|betalactams|Class_A_betalactamases|OXY,
CARD,CARD|gb|AJ871877|+|0-876|ARO:3002416|OXY-6-4 [Klebsiella oxytoca] ,MEG_5297|Drugs|betalactams|Class_A_betalactamases|OXY,
CARD,CARD|gb|AY055205|+|181-1054|ARO:3002403|OXY-2-8 [Klebsiella oxytoca] ,MEG_5298|Drugs|betalactams|Class_A_betalactamases|OXY,
CARD,CARD|gb|AY077481|+|185-1058|ARO:3002410|OXY-4-1 [Klebsiella oxytoca] ,MEG_5299|Drugs|betalactams|Class_A_betalactamases|OXY,
CARD,CARD|gb|AY077482|+|161-1037|ARO:3002391|OXY-1-3 [Klebsiella oxytoca] ,MEG_5300|Drugs|betalactams|Class_A_betalactamases|OXY,
CARD,CARD|gb|AY077483|+|182-1055|ARO:3002392|OXY-1-4 [Klebsiella oxytoca] ,MEG_5301|Drugs|betalactams|Class_A_betalactamases|OXY,
CARD,CARD|gb|AY077485|+|183-1056|ARO:3002401|OXY-2-6 [Klebsiella oxytoca] ,MEG_5302|Drugs|betalactams|Class_A_betalactamases|OXY,
CARD,CARD|gb|AY077488|+|161-1031|ARO:3002398|OXY-2-3 [Klebsiella oxytoca] ,MEG_5303|Drugs|betalactams|Class_A_betalactamases|OXY,
CARD,CARD|gb|FJ785625|+|131-1001|ARO:3002404|OXY-2-9 [Klebsiella oxytoca] ,MEG_5304|Drugs|betalactams|Class_A_betalactamases|OXY,
CARD,CARD|gb|FJ785626|+|131-1004|ARO:3002405|OXY-2-10 [Klebsiella oxytoca] ,MEG_5305|Drugs|betalactams|Class_A_betalactamases|OXY,
CARD,CARD|gb|Y17714|+|146-1016|ARO:3002399|OXY-2-4 [Klebsiella oxytoca] ,MEG_5306|Drugs|betalactams|Class_A_betalactamases|OXY,
CARD,CARD|gb|Y17715|+|146-1022|ARO:3002394|OXY-1-6 [Klebsiella oxytoca] ,MEG_5307|Drugs|betalactams|Class_A_betalactamases|OXY,
CARD,CARD|gb|Z30177|+|348-1224|ARO:3002389|OXY-1-1 [Klebsiella oxytoca] ,MEG_5308|Drugs|betalactams|Class_A_betalactamases|OXY,
CARD,CARD|gb|Z49084|+|311-1184|ARO:3002402|OXY-2-7 [Klebsiella oxytoca] ,MEG_5309|Drugs|betalactams|Class_A_betalactamases|OXY,
NCBI,gi|18844707|gb|AY077483.1|122-1055,MEG_5310|Drugs|betalactams|Class_A_betalactamases|OXY,
NCBI,gi|18844713|gb|AY077486.1|120-1056 gi|219920928|emb|FM178426.1|1-825,MEG_5311|Drugs|betalactams|Class_A_betalactamases|OXY,
NCBI,gi|23264039|gb|AY077481.1|125-1058,MEG_5312|Drugs|betalactams|Class_A_betalactamases|OXY,
NCBI,gi|23345325|gb|AF491278.1|123-1050,MEG_5313|Drugs|betalactams|Class_A_betalactamases|OXY,
NCBI,gi|257136309|gb|FJ785625.1|70-1001,MEG_5314|Drugs|betalactams|Class_A_betalactamases|OXY,
NCBI,gi|257136311|gb|FJ785626.1|70-1004,MEG_5315|Drugs|betalactams|Class_A_betalactamases|OXY,
NCBI,gi|32130554|gb|AY077485.2|122-1056,MEG_5316|Drugs|betalactams|Class_A_betalactamases|OXY,
NCBI,gi|32130556|gb|AY077487.2|118-1049,MEG_5317|Drugs|betalactams|Class_A_betalactamases|OXY,
NCBI,gi|32130558|gb|AY077488.2|100-1031,MEG_5318|Drugs|betalactams|Class_A_betalactamases|OXY,
NCBI,gi|4775479|emb|Y17715.1|86-1022,MEG_5319|Drugs|betalactams|Class_A_betalactamases|OXY,
NCBI,gi|662706586|gb|CP008841.1|2548225-2547350 gi|660567586|gb|CP008788.1|1536015-1535140 gi|341705|gb|M27459.1|KPNLACMASB|86-961 gi|219920904|emb|FM178414.1|1-825,MEG_5320|Drugs|betalactams|Class_A_betalactamases|OXY,
BacMet,oxyRkp|BAH61025|BAH61025.1Klebsiellapneumoniaesubsp.pneumoniaeNTUH-K2044activatorofhydrogenperoxide-induciblegenes,MEG_5321|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|OXYRKP,
CARD,CARD|gb|KY084523.1|+|0-1473|ARO:3003977|Halobacterium halobium 16S rRNA mutation conferring resistance to pactamycin [Halobacterium salinarum] ,MEG_5322|Drugs|Pactamycin|Pactamycin-resistant_16S_ribosomal_subunit_protein|P16S|RequiresSNPConfirmation,
CARD,CARD|gb|NC_004829.2|+|80510-83423|ARO:3004159|Mycoplasma gallisepticum 23S rRNA mutation conferring resistance to pleuromutilin antibiotics [Mycoplasma gallisepticum str. R(low)] ,MEG_5323|Drugs|Pleuromutilin|Pleuromutilin-resistant_23S_rRNA_mutation|P23S|RequiresSNPConfirmation,
AMRFinder,730609818|WP_034051940.1|NG_052627|1|1|blaPAC-1|blaPAC|class_C_beta-lactamase_PAC-1 NG_052627:101-1246,MEG_5324|Drugs|betalactams|Class_C_betalactamases|PAC,
CARD,CARD|gb|AB003428.1|+|151-2416|ARO:3003702|Pseudomonas aeruginosa gyrA and parC conferring resistance to fluoroquinolone [Pseudomonas aeruginosa] ,MEG_5325|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,
CARD,CARD|gb|AE004969.1|+|1210523-1212827|ARO:3003929|Neisseria gonorrhoeae parC conferring resistance to fluoroquinolone [Neisseria gonorrhoeae FA 1090] ,MEG_5326|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,
CARD,CARD|gb|AE005672|+|800699-803171|ARO:3003311|Streptococcus pneumoniae parC conferring resistance to fluoroquinolone [Streptococcus pneumoniae TIGR4] ,MEG_5327|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,
CARD,CARD|gb|AF222894.1|+|531446-533999|ARO:3003309|Ureaplasma urealyticum parC conferring resistance to fluoroquinolone [Ureaplasma parvum serovar 3 str. ATCC 700970] ,MEG_5328|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,
CARD,CARD|gb|BX571856.1|+|1419759-1422162|ARO:3003312|Staphylococcus aureus parC conferring resistance to fluoroquinolone [Staphylococcus aureus subsp. aureus MRSA252] ,MEG_5329|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,
CARD,CARD|gb|CP011538.1|-|660262-663064|ARO:3003310|Mycoplasma hominis parC conferring resistance to fluoroquinolone [Mycoplasma hominis] ,MEG_5330|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,
CARD,CARD|gb|L43967.2|+|242223-244569|ARO:3004630|Mycoplasma Genitalium ParC mutations confers resistance to Moxifloxacin [Mycoplasma genitalium G37] ,MEG_5331|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,
CARD,CARD|gb|NC_004337.2|-|3159154-3161413|ARO:3003941|Shigella flexneri parC conferring resistance to fluoroquinolones [Shigella flexneri 2a str. 301] ,MEG_5332|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,
CARD,CARD|gb|U00096.3|-|3163714-3165973|ARO:3003308|Escherichia coli parC conferring resistance to fluoroquinolone [Escherichia coli str. K-12 substr. MG1655] ,MEG_5333|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,
NCBI,gi|150953431|gb|CP000647.1|3763448-3761190,MEG_5334|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,
NCBI,gi|169150821|emb|CU468230.2|203454-205673,MEG_5335|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,
NCBI,gi|183207914|gb|CP000863.1|240839-243058,MEG_5336|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,
NCBI,gi|225791049|gb|CP000675.2|3550879-3548624 gi|984671414|emb|LT009690.1|1401817-1401844,MEG_5337|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,
NCBI,gi|226092535|dbj|AP008955.1|3483238-3480695,MEG_5338|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,
NCBI,gi|226840737|gb|CP001581.1|3145179-3142309,MEG_5339|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,
NCBI,gi|25307955|gb|AE007317.1|752241-754721 gi|116075884|gb|CP000410.1|759772-762252,MEG_5340|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,
NCBI,gi|29350190|gb|AE016830.1|1573667-1571205 gi|15982569|dbj|AB059406.1|2403-4865,MEG_5341|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,
NCBI,gi|323575285|emb|FN543093.2|3646074-3643804,MEG_5342|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,
NCBI,gi|388532432|gb|CP003583.1|1132335-1134785 gi|378937014|gb|CP003351.1|1199896-1197446,MEG_5343|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,
NCBI,gi|408436493|emb|HE579073.1|1334624-1337026 gi|408434508|emb|HE579071.1|1334575-1336977 gi|408432519|emb|HE579069.1|1334801-1337203 gi|408430526|emb|HE579067.1|1334760-1337162 gi|408428537|emb|HE579065.1|1334762-1337164 gi|408426549|emb|HE579063.1|1334766-1337168 gi|408424560|emb|HE579061.1|1334811-1337213 gi|408422572|emb|HE579059.1|1334819-1337221 gi|262073980|gb|CP001781.1|1369090-1371492 gi|156720466|dbj|AP009324.1|1434054-1436456,MEG_5344|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,
NCBI,gi|47118312|dbj|BA000033.2|1358315-1360717,MEG_5345|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,
NCBI,gi|529186758|gb|CP004022.1|2698902-2695945,MEG_5346|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,
NCBI,gi|53752796|emb|CR628337.1|3321661-3319406,MEG_5347|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,
NCBI,gi|558570689|gb|CP006736.1|2931686-2933944 gi|81239530|gb|CP000034.1|2980057-2982315,MEG_5348|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,
