S1_test,S3_test,S2_test
MEG_7141|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,6.0,4.0,4.0
MEG_1990|Drugs|betalactams|Class_C_betalactamases|CMY,6.0,4.0,2.0
MEG_2236|Drugs|betalactams|Class_A_betalactamases|CTX,6.0,8.0,6.0
MEG_3128|Drugs|betalactams|Class_A_betalactamases|GES,2.0,10.0,2.0
MEG_5984|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,4.0,2.0,2.0
MEG_339|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,2.0,0
MEG_1566|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,2.0,4.0,0
MEG_2966|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,2.0,4.0,0
MEG_3503|Drugs|betalactams|Class_A_betalactamases|KPC,2.0,2.0,2.0
MEG_6629|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,2.0,4.0,0
MEG_7753|Drugs|betalactams|Class_B_betalactamases|VIM,2.0,4.0,0
MEG_855|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,2.0,0,0
MEG_2333|Drugs|betalactams|Class_A_betalactamases|CTX,2.0,8.0,0
MEG_5199|Drugs|betalactams|Class_D_betalactamases|OXA,8.0,2.0,2.0
MEG_2914|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,0,4.0,0
MEG_1843|Drugs|betalactams|Class_C_betalactamases|CMY,6.0,4.0,2.0
MEG_7231|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,0,4.0,0
MEG_7247|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETZ,0,4.0,0
MEG_880|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,2.0,0
MEG_1636|Drugs|betalactams|Class_A_betalactamases|CBLA,4.0,4.0,0
MEG_2776|Drugs|MLS|23S_rRNA_methyltransferases|ERM32,0,4.0,0
MEG_684|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEG,10.0,18.0,0
MEG_6916|Drugs|betalactams|Class_A_betalactamases|TEM,4.0,14.0,2.0
MEG_2968|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,0,4.0,0
MEG_2998|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,2.0,2.0,0
MEG_2313|Drugs|betalactams|Class_A_betalactamases|CTX,10.0,6.0,2.0
MEG_6169|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT,2.0,4.0,2.0
MEG_6787|Drugs|betalactams|Class_A_betalactamases|TEM,8.0,4.0,2.0
MEG_7027|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,8.0,10.0,6.0
MEG_1578|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,0,4.0,0
MEG_7686|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|VGA,2.0,0,0
MEG_6421|Drugs|betalactams|Class_A_betalactamases|SHV,6.0,6.0,0
MEG_1618|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation,2.0,2.0,0
MEG_205|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,2.0,0
MEG_481|Drugs|betalactams|Class_C_betalactamases|ACT,0,4.0,0
MEG_6046|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|RAMR|RequiresSNPConfirmation,2.0,6.0,2.0
MEG_6209|Drugs|betalactams|Class_A_betalactamases|SHV,2.0,2.0,0
MEG_4872|Drugs|betalactams|Class_D_betalactamases|OXA,0,2.0,0
MEG_4190|Drugs|Metronidazole|nim_nitroimidazole_reductase|NIMI,2.0,0,0
MEG_2710|Drugs|Mycobacterium_tuberculosis-specific_Drug|Ethambutol_resistant_arabinosyltransferase|EMBB|RequiresSNPConfirmation,14.0,24.0,4.0
MEG_3377|Drugs|betalactams|Class_B_betalactamases|IMP,2.0,0,0
MEG_6127|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,22.0,28.0,12.0
MEG_6919|Drugs|betalactams|Class_A_betalactamases|TEM,4.0,4.0,2.0
MEG_1808|Drugs|betalactams|Class_C_betalactamases|CMY,0,10.0,0
MEG_285|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,4.0,0
MEG_4963|Drugs|betalactams|Class_D_betalactamases|OXA,2.0,0,0
MEG_2989|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,0,2.0,0
MEG_6198|Drugs|betalactams|Class_A_betalactamases|SHV,2.0,0,0
MEG_1264|Drugs|betalactams|Class_B_betalactamases|BLAB,2.0,0,0
MEG_5721|Drugs|betalactams|Class_C_betalactamases|PDC,2.0,0,2.0
MEG_6439|Drugs|betalactams|Class_A_betalactamases|SHV,4.0,0,6.0
MEG_6480|Drugs|betalactams|Class_A_betalactamases|SHV,2.0,2.0,0
MEG_2592|Drugs|betalactams|Class_C_betalactamases|DHA,6.0,4.0,4.0
MEG_1838|Drugs|betalactams|Class_C_betalactamases|CMY,4.0,2.0,2.0
MEG_4148|Drugs|betalactams|Class_B_betalactamases|NDM,4.0,0,4.0
MEG_6036|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRVC,2.0,0,0
MEG_6497|Drugs|betalactams|Class_A_betalactamases|SHV,2.0,2.0,0
MEG_6400|Drugs|betalactams|Class_A_betalactamases|SHV,2.0,2.0,0
MEG_4479|Drugs|betalactams|Class_D_betalactamases|OXA,2.0,0,2.0
MEG_6888|Drugs|betalactams|Class_A_betalactamases|TEM,6.0,4.0,4.0
MEG_7316|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,8.0,22.0,6.0
MEG_4950|Drugs|betalactams|Class_D_betalactamases|OXA,2.0,0,0
MEG_7649|Drugs|betalactams|Class_A_betalactamases|VEB,4.0,8.0,2.0
MEG_2100|Drugs|betalactams|Class_B_betalactamases|CPHA,0,2.0,0
MEG_4878|Drugs|betalactams|Class_D_betalactamases|OXA,0,4.0,0
MEG_6166|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT,0,6.0,0
MEG_7110|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,6.0,0,0
MEG_6091|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,16.0,24.0,14.0
MEG_4250|Drugs|betalactams|Class_A_betalactamases|OKP,2.0,2.0,0
MEG_5026|Drugs|betalactams|Class_D_betalactamases|OXA,2.0,2.0,0
MEG_962|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,2.0,0,0
MEG_7739|Drugs|betalactams|Class_B_betalactamases|VIM,2.0,0,2.0
MEG_5004|Drugs|betalactams|Class_D_betalactamases|OXA,0,2.0,0
MEG_1900|Drugs|betalactams|Class_C_betalactamases|CMY,4.0,8.0,2.0
MEG_1871|Drugs|betalactams|Class_C_betalactamases|CMY,4.0,0,2.0
MEG_6765|Drugs|betalactams|Class_A_betalactamases|TEM,6.0,2.0,2.0
MEG_7159|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,0,2.0,0
MEG_4083|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MTRD,16.0,24.0,10.0
MEG_3127|Drugs|betalactams|Class_A_betalactamases|GES,0,2.0,0
MEG_4015|Drugs|betalactams|Class_C_betalactamases|MOX,0,4.0,0
MEG_2802|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,4.0,2.0,2.0
MEG_7251|Drugs|betalactams|Class_A_betalactamases|TLA,4.0,2.0,2.0
MEG_5226|Drugs|betalactams|Class_D_betalactamases|OXA,2.0,6.0,0
MEG_6822|Drugs|betalactams|Class_A_betalactamases|TEM,4.0,6.0,4.0
MEG_3025|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSX,4.0,4.0,2.0
MEG_3507|Drugs|betalactams|Class_A_betalactamases|KPC,2.0,6.0,2.0
MEG_2293|Drugs|betalactams|Class_A_betalactamases|CTX,0,12.0,0
MEG_6116|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,8.0,16.0,4.0
MEG_2788|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,6.0,2.0,4.0
MEG_1973|Drugs|betalactams|Class_C_betalactamases|CMY,4.0,6.0,0
MEG_238|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,2.0,0
MEG_2903|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|FEXA,4.0,2.0,2.0
MEG_4464|Drugs|betalactams|Class_D_betalactamases|OXA,0,2.0,0
MEG_3318|Drugs|betalactams|Class_B_betalactamases|IMP,2.0,4.0,0
MEG_6927|Drugs|betalactams|Class_A_betalactamases|TEM,4.0,4.0,2.0
MEG_487|Drugs|betalactams|Class_C_betalactamases|ACT,2.0,2.0,0
MEG_484|Drugs|betalactams|Class_C_betalactamases|ACT,8.0,0,0
MEG_7444|Drugs|Glycopeptides|VanL-type_resistance_protein|VANL,2.0,4.0,0
MEG_7341|Drugs|Glycopeptides|VanA-type_resistance_protein|VANA,6.0,4.0,0
MEG_1670|Drugs|betalactams|Class_B_betalactamases|CFIA,2.0,2.0,0
MEG_6386|Drugs|betalactams|Class_A_betalactamases|SHV,2.0,4.0,2.0
MEG_6798|Drugs|betalactams|Class_A_betalactamases|TEM,8.0,4.0,2.0
MEG_2299|Drugs|betalactams|Class_A_betalactamases|CTX,4.0,0,4.0
MEG_4448|Drugs|betalactams|Class_D_betalactamases|OXA,2.0,0,2.0
MEG_4962|Drugs|betalactams|Class_D_betalactamases|OXA,0,6.0,0
MEG_5345|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,4.0,18.0,4.0
MEG_3228|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,12.0,14.0,6.0
MEG_6380|Drugs|betalactams|Class_A_betalactamases|SHV,0,8.0,0
MEG_7208|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,2.0,0,0
MEG_6345|Drugs|betalactams|Class_A_betalactamases|SHV,2.0,6.0,2.0
MEG_1952|Drugs|betalactams|Class_C_betalactamases|CMY,6.0,8.0,6.0
MEG_3005|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSB,2.0,0,0
MEG_3356|Drugs|betalactams|Class_B_betalactamases|IMP,0,4.0,0
MEG_5783|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_ABC_efflux_regulator|PHOB|RequiresSNPConfirmation,0,2.0,0
MEG_363|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,2.0,0,0
MEG_3233|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,6.0,16.0,0
MEG_1380|Drugs|betalactams|Class_A_betalactamases|BLAZ,2.0,0,0
MEG_5618|Drugs|betalactams|Class_C_betalactamases|PDC,2.0,0,0
MEG_4459|Drugs|betalactams|Class_D_betalactamases|OXA,0,2.0,0
MEG_3271|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|HNS,2.0,2.0,0
MEG_5193|Drugs|betalactams|Class_D_betalactamases|OXA,0,2.0,0
MEG_4915|Drugs|betalactams|Class_D_betalactamases|OXA,2.0,2.0,2.0
MEG_5189|Drugs|betalactams|Class_D_betalactamases|OXA,2.0,4.0,2.0
MEG_7681|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|VGA,2.0,2.0,2.0
MEG_6221|Drugs|betalactams|Class_A_betalactamases|SHV,2.0,2.0,2.0
MEG_361|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,2.0,0
MEG_1100|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH9,0,2.0,0
MEG_3504|Drugs|betalactams|Class_A_betalactamases|KPC,10.0,0,4.0
MEG_7422|Drugs|Glycopeptides|VanD-type_resistance_protein|VANHD,2.0,4.0,0
MEG_5056|Drugs|betalactams|Class_D_betalactamases|OXA,0,4.0,0
MEG_5200|Drugs|betalactams|Class_D_betalactamases|OXA,0,8.0,0
MEG_5209|Drugs|betalactams|Class_D_betalactamases|OXA,6.0,2.0,4.0
MEG_1463|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BLT,6.0,8.0,4.0
MEG_2381|Drugs|betalactams|Class_A_betalactamases|CTX,8.0,4.0,6.0
MEG_4287|Drugs|Multi-drug_resistance|MDR_mutant_porin_proteins|OMPF|RequiresSNPConfirmation,8.0,12.0,8.0
MEG_5945|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,2.0,4.0,0
MEG_772|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,2.0,0
MEG_5022|Drugs|betalactams|Class_D_betalactamases|OXA,0,4.0,0
MEG_5289|Drugs|betalactams|Class_A_betalactamases|OXY,2.0,2.0,0
MEG_7152|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,2.0,0,0
MEG_5366|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,6.0,12.0,2.0
MEG_4334|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXA,2.0,4.0,0
MEG_3474|Drugs|betalactams|Class_A_betalactamases|KPC,2.0,2.0,2.0
MEG_2807|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,0,6.0,0
MEG_6268|Drugs|betalactams|Class_A_betalactamases|SHV,0,4.0,0
MEG_7315|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,8.0,10.0,2.0
MEG_5722|Drugs|betalactams|Class_C_betalactamases|PDC,4.0,0,0
MEG_6521|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|SME,4.0,2.0,2.0
MEG_6282|Drugs|betalactams|Class_A_betalactamases|SHV,0,2.0,0
MEG_5184|Drugs|betalactams|Class_D_betalactamases|OXA,2.0,6.0,0
MEG_7710|Drugs|betalactams|Class_B_betalactamases|VIM,0,2.0,0
MEG_6797|Drugs|betalactams|Class_A_betalactamases|TEM,2.0,4.0,0
MEG_7587|Drugs|Glycopeptides|VanE-type_resistance_protein|VANXYE,0,2.0,0
MEG_6719|Drugs|betalactams|Class_A_betalactamases|TEM,12.0,8.0,4.0
MEG_5950|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,2.0,2.0,2.0
MEG_5060|Drugs|betalactams|Class_D_betalactamases|OXA,4.0,6.0,2.0
MEG_6854|Drugs|betalactams|Class_A_betalactamases|TEM,4.0,6.0,6.0
MEG_844|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,6.0,0
MEG_492|Drugs|betalactams|Class_C_betalactamases|ACT,4.0,2.0,2.0
MEG_303|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,6.0,0
MEG_6354|Drugs|betalactams|Class_A_betalactamases|SHV,4.0,2.0,4.0
MEG_5241|Drugs|betalactams|Class_D_betalactamases|OXA,2.0,0,0
MEG_5949|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,2.0,0,2.0
MEG_1247|Drugs|betalactams|Class_A_betalactamases|BLAA,4.0,10.0,2.0
MEG_1906|Drugs|betalactams|Class_C_betalactamases|CMY,2.0,12.0,2.0
MEG_6950|Drugs|betalactams|Class_A_betalactamases|TEM,4.0,2.0,0
MEG_1925|Drugs|betalactams|Class_C_betalactamases|CMY,0,4.0,0
MEG_6813|Drugs|betalactams|Class_A_betalactamases|TEM,8.0,0,6.0
MEG_2235|Drugs|betalactams|Class_A_betalactamases|CTX,2.0,0,0
MEG_5094|Drugs|betalactams|Class_D_betalactamases|OXA,2.0,0,2.0
MEG_6304|Drugs|betalactams|Class_A_betalactamases|SHV,0,6.0,0
MEG_1554|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CAT,4.0,0,0
MEG_3570|Drugs|betalactams|Class_A_betalactamases|LEN,2.0,2.0,2.0
MEG_7655|Drugs|betalactams|Class_A_betalactamases|VEB,0,2.0,0
MEG_2270|Drugs|betalactams|Class_A_betalactamases|CTX,0,2.0,0
MEG_445|Drugs|betalactams|Class_C_betalactamases|ACT,12.0,10.0,6.0
MEG_5763|Drugs|betalactams|Class_A_betalactamases|PER,4.0,8.0,0
MEG_6931|Drugs|betalactams|Class_A_betalactamases|TEM,0,4.0,0
MEG_1131|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,2.0,4.0,2.0
MEG_7190|Drugs|Tetracyclines|Tetracycline_transcriptional_repressor|TETR|RequiresSNPConfirmation,2.0,0,0
MEG_2840|Drugs|MLS|23S_rRNA_methyltransferases|ERMO,0,4.0,0
MEG_6876|Drugs|betalactams|Class_A_betalactamases|TEM,0,6.0,0
MEG_1591|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,4.0,4.0,2.0
MEG_5050|Drugs|betalactams|Class_D_betalactamases|OXA,6.0,12.0,4.0
MEG_5072|Drugs|betalactams|Class_D_betalactamases|OXA,2.0,6.0,2.0
MEG_6670|Drugs|betalactams|Class_A_betalactamases|TEM,4.0,0,0
MEG_6841|Drugs|betalactams|Class_A_betalactamases|TEM,2.0,0,2.0
MEG_4463|Drugs|betalactams|Class_D_betalactamases|OXA,4.0,4.0,2.0
MEG_2785|Drugs|MLS|23S_rRNA_methyltransferases|ERMA,2.0,0,0
MEG_3246|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|GYRBA|RequiresSNPConfirmation,8.0,12.0,6.0
MEG_5001|Drugs|betalactams|Class_D_betalactamases|OXA,2.0,6.0,0
MEG_5377|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,2.0,2.0,0
MEG_6390|Drugs|betalactams|Class_A_betalactamases|SHV,4.0,4.0,2.0
MEG_874|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,2.0,0,0
MEG_78|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,2.0,0
MEG_3412|Drugs|betalactams|Class_B_betalactamases|IND,4.0,6.0,4.0
MEG_1912|Drugs|betalactams|Class_C_betalactamases|CMY,2.0,8.0,0
MEG_6128|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,26.0,20.0,12.0
MEG_5704|Drugs|betalactams|Class_C_betalactamases|PDC,2.0,0,2.0
MEG_5099|Drugs|betalactams|Class_D_betalactamases|OXA,6.0,8.0,4.0
MEG_7761|Drugs|betalactams|Class_B_betalactamases|VIM,2.0,0,0
MEG_5393|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,16.0,32.0,8.0
MEG_4792|Drugs|betalactams|Class_D_betalactamases|OXA,2.0,4.0,2.0
MEG_4775|Drugs|betalactams|Class_D_betalactamases|OXA,6.0,14.0,4.0
MEG_7551|Drugs|Glycopeptides|VanA-type_resistance_protein|VANXA,4.0,4.0,4.0
MEG_4755|Drugs|betalactams|Class_D_betalactamases|OXA,0,4.0,0
MEG_3115|Drugs|betalactams|Class_A_betalactamases|GES,0,2.0,0
MEG_6238|Drugs|betalactams|Class_A_betalactamases|SHV,0,6.0,0
MEG_2343|Drugs|betalactams|Class_A_betalactamases|CTX,6.0,0,2.0
MEG_1066|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,4.0,2.0,2.0
MEG_7704|Drugs|betalactams|Class_B_betalactamases|VIM,0,4.0,0
MEG_2214|Drugs|betalactams|Class_A_betalactamases|CTX,0,4.0,0
MEG_6369|Drugs|betalactams|Class_A_betalactamases|SHV,4.0,6.0,0
MEG_2205|Drugs|betalactams|Class_A_betalactamases|CTX,2.0,2.0,2.0
MEG_287|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,2.0,0,2.0
MEG_6901|Drugs|betalactams|Class_A_betalactamases|TEM,6.0,2.0,4.0
MEG_494|Drugs|betalactams|Class_C_betalactamases|ACT,0,2.0,0
MEG_6728|Drugs|betalactams|Class_A_betalactamases|TEM,2.0,2.0,0
MEG_4473|Drugs|betalactams|Class_D_betalactamases|OXA,2.0,2.0,0
MEG_1926|Drugs|betalactams|Class_C_betalactamases|CMY,4.0,8.0,2.0
MEG_5919|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,4.0,4.0,2.0
MEG_1946|Drugs|betalactams|Class_C_betalactamases|CMY,0,6.0,0
MEG_5962|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,2.0,0,2.0
MEG_3363|Drugs|betalactams|Class_B_betalactamases|IMP,0,4.0,0
MEG_5285|Drugs|betalactams|Class_A_betalactamases|OXY,4.0,4.0,2.0
MEG_1773|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMLA,6.0,8.0,4.0
MEG_6319|Drugs|betalactams|Class_A_betalactamases|SHV,8.0,0,0
MEG_4297|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|OPRJ,2.0,4.0,2.0
MEG_5204|Drugs|betalactams|Class_D_betalactamases|OXA,4.0,2.0,2.0
MEG_5964|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,2.0,4.0,2.0
MEG_7106|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0,2.0,0
MEG_7264|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TOLC,0,2.0,0
MEG_3538|Drugs|betalactams|Class_D_betalactamases|LCR,0,8.0,0
MEG_3939|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXY,24.0,28.0,8.0
MEG_2317|Drugs|betalactams|Class_A_betalactamases|CTX,0,2.0,0
MEG_6892|Drugs|betalactams|Class_A_betalactamases|TEM,4.0,6.0,4.0
MEG_106|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,2.0,0
MEG_5104|Drugs|betalactams|Class_D_betalactamases|OXA,0,4.0,0
MEG_6452|Drugs|betalactams|Class_A_betalactamases|SHV,6.0,0,4.0
MEG_5287|Drugs|betalactams|Class_A_betalactamases|OXY,0,2.0,0
MEG_2543|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,2.0,4.0,0
MEG_6097|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,20.0,20.0,12.0
MEG_7328|Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|UGD,2.0,2.0,0
MEG_3632|Drugs|betalactams|Class_B_betalactamases|LRA,2.0,4.0,2.0
MEG_5453|Drugs|betalactams|Class_C_betalactamases|PDC,2.0,0,2.0
MEG_7712|Drugs|betalactams|Class_B_betalactamases|VIM,2.0,2.0,2.0
MEG_6071|Drugs|Aminoglycosides|16S_rRNA_methyltransferases|RMTF,2.0,2.0,2.0
MEG_6625|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,0,2.0,0
MEG_3578|Drugs|betalactams|Class_A_betalactamases|LEN,0,6.0,0
MEG_126|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,2.0,6.0,2.0
MEG_2953|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,6.0,8.0,4.0
MEG_6614|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,4.0,2.0,2.0
MEG_4031|Drugs|MLS|Macrolide_phosphotransferases|MPHB,0,6.0,0
MEG_4542|Drugs|betalactams|Class_D_betalactamases|OXA,0,4.0,0
MEG_2279|Drugs|betalactams|Class_A_betalactamases|CTX,2.0,4.0,2.0
MEG_1820|Drugs|betalactams|Class_C_betalactamases|CMY,2.0,0,0
MEG_797|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,2.0,0,2.0
MEG_6359|Drugs|betalactams|Class_A_betalactamases|SHV,8.0,2.0,2.0
MEG_1630|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation,0,2.0,0
MEG_7347|Drugs|Glycopeptides|VanB-type_resistance_protein|VANB,2.0,0,2.0
MEG_2550|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,6.0,4.0,4.0
MEG_3967|Drugs|betalactams|Class_C_betalactamases|MIR,4.0,4.0,0
MEG_5140|Drugs|betalactams|Class_D_betalactamases|OXA,4.0,0,4.0
MEG_6350|Drugs|betalactams|Class_A_betalactamases|SHV,2.0,2.0,2.0
MEG_6891|Drugs|betalactams|Class_A_betalactamases|TEM,2.0,12.0,0
MEG_4510|Drugs|betalactams|Class_D_betalactamases|OXA,0,2.0,0
MEG_7151|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,0,4.0,0
MEG_763|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,2.0,0
MEG_5922|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,2.0,2.0,2.0
MEG_7123|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0,4.0,0
MEG_4779|Drugs|betalactams|Class_D_betalactamases|OXA,2.0,4.0,2.0
MEG_7647|Drugs|betalactams|Class_A_betalactamases|VEB,2.0,0,0
MEG_1249|Drugs|betalactams|Class_A_betalactamases|BLAA,2.0,8.0,2.0
MEG_7095|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETL,8.0,10.0,6.0
MEG_1885|Drugs|betalactams|Class_C_betalactamases|CMY,2.0,6.0,2.0
MEG_4293|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|OPMD,4.0,10.0,2.0
MEG_4447|Drugs|betalactams|Class_D_betalactamases|OXA,0,2.0,0
MEG_1824|Drugs|betalactams|Class_C_betalactamases|CMY,4.0,6.0,0
MEG_5237|Drugs|betalactams|Class_D_betalactamases|OXA,0,2.0,0
MEG_2294|Drugs|betalactams|Class_A_betalactamases|CTX,2.0,0,2.0
MEG_5437|Drugs|betalactams|Class_C_betalactamases|PDC,2.0,2.0,2.0
MEG_2312|Drugs|betalactams|Class_A_betalactamases|CTX,2.0,0,2.0
MEG_6814|Drugs|betalactams|Class_A_betalactamases|TEM,0,4.0,0
MEG_6262|Drugs|betalactams|Class_A_betalactamases|SHV,0,4.0,0
MEG_7604|Drugs|Glycopeptides|VanD-type_accessory_protein|VANYD,0,4.0,0
MEG_7645|Drugs|betalactams|Class_A_betalactamases|VEB,0,2.0,0
MEG_5481|Drugs|betalactams|Class_C_betalactamases|PDC,0,2.0,0
